data,mes,ano,temp_min,temp_media,temp_max,amplitude_termica,orvalho,umidade_relativa_min,umidade_relativa_media,velocidade_vento_media,velocidade_vento_max,pressao_atm_media,precipitacao_total,obitos_feminino,obitos_masculino,obitos_infantil,obitos_total
29may2014,5,2014,14.4,18.799999,24.5,10.1,12.6,52,68,2.5,8.1999998,919.70001,0,16,23,,39
19may2014,5,2014,14.5,20.799999,27.799999,13.299999,12.8,27,64.300003,1,6.3000002,919.59998,0,21,27,,48
10may2014,5,2014,14.6,20.4,27,12.4,13.9,42,67.400002,1.3,8.1999998,917.29999,0,17,24,,41
31may2014,5,2014,14.6,18.4,23.700001,9.1000004,12.5,47,69.400002,2.4000001,7.5999999,921.09998,0,22,21,,43
17may2014,5,2014,14.6,20.4,26.5,11.9,12.8,39,63.299999,1.7,8.6000004,919.20001,0,19,22,,41
22may2014,5,2014,14.9,21.299999,28.299999,13.4,12.6,35,59.599998,1.3,8,919.09998,0,22,22,,44
11may2014,5,2014,15.4,18.4,22.4,7,11.2,51,63.5,3.5,11.1,921.90002,0,25,29,,54
21may2014,5,2014,15.7,20.4,26,10.3,13.2,42,64.5,1.8,7.5999999,919.5,0,16,26,,42
06may2014,5,2014,16.799999,21.799999,28.200001,11.400002,13.9,35,62.299999,1.5,7.0999999,921,0,20,25,,45
30may2014,5,2014,16.799999,17.9,21.1,4.3000011,13.2,63,74.599998,3.3,9.3999996,921.79999,0,17,16,,33
23may2014,5,2014,16.799999,22.700001,29.299999,12.5,14,38,60.200001,1,7.8000002,919.09998,0,16,23,,39
04may2014,5,2014,16.9,19.799999,25.9,9,12.8,45,64.699997,2.0999999,6.8000002,922.40002,0,13,26,,39
09may2014,5,2014,17.200001,22.200001,28.200001,11,15.3,36,67.699997,1.3,7.5999999,916.5,4.4000001,16,23,,39
18may2014,5,2014,17.700001,19.6,22.9,5.1999989,13.7,59,69.300003,2.3,7.3000002,919.90002,0,27,17,,44
07may2014,5,2014,17.700001,22.1,28.1,10.4,15,43,64.900002,1.7,6.5999999,921.79999,0,22,33,,55
24may2014,5,2014,18,23.700001,29.5,11.5,15.4,39,61.200001,1,5.5999999,918.79999,0,27,24,1,52
27may2014,5,2014,18.700001,22.4,28.200001,9.5,15.1,33,67.300003,1.5,9.1999998,919.09998,.60000002,31,19,,50
26may2014,5,2014,18.9,22.1,27.5,8.6000004,17.700001,56,77,1.8,8.1999998,919.59998,0,18,25,,43
08may2014,5,2014,19.299999,22.5,27.799999,8.5,16,47,67.599998,1.7,8.5,920,0,18,30,,48
25may2014,5,2014,19.299999,22.299999,27.299999,8,16.9,55,72.300003,2.4000001,8.1999998,919.20001,.60000002,21,36,,57
26jun2014,6,2014,12.1,18.799999,26,13.9,10.9,38,62.099998,1.4,5.4000001,920.70001,0,17,25,,42
25jun2014,6,2014,12.3,18.299999,24.9,12.599999,10.7,35,63.299999,1.7,6.9000001,921.09998,0,16,28,,44
20jun2014,6,2014,13.3,18.700001,23.700001,10.400001,12.9,51,69.5,2.3,8.8999996,923.20001,0,20,31,,51
01jun2014,6,2014,13.7,19.700001,26.299999,12.599999,11.7,36,62.099998,1.3,6.1999998,918.29999,0,22,33,,55
24jun2014,6,2014,13.8,18.799999,25.299999,11.499999,11,32,62.700001,1.7,5.9000001,923.90002,0,19,22,,41
15jun2014,6,2014,14.1,20.200001,27.4,13.299999,12.2,33,63.200001,1.6,8.1999998,923.59998,0,19,20,,39
03jun2014,6,2014,14.2,19.799999,27.200001,13.000001,13.6,31,70.800003,1.1,6.5,916.79999,0,24,21,,45
17jun2014,6,2014,14.2,20.200001,26.200001,12.000001,11.8,35,60.400002,1.9,6.5,923.79999,0,23,10,,33
19jun2014,6,2014,14.5,19.299999,25.200001,10.700001,13.6,47,70.5,1.7,7.0999999,923.79999,0,21,21,,42
08jun2014,6,2014,14.5,20.4,26.6,12.1,11.1,32,57.5,1.3,5.3000002,919.70001,0,25,19,,44
06jun2014,6,2014,14.7,21.4,29,14.3,12.7,27,61.799999,1,5.4000001,917.70001,0,18,22,,40
27jun2014,6,2014,14.7,20.1,26.9,12.2,11.2,30,59.700001,1.3,5.5999999,921.59998,0,19,24,,43
23jun2014,6,2014,14.9,18.1,23.5,8.6000004,11.7,45,67.599998,2.5999999,7.0999999,924.90002,0,24,26,,50
16jun2014,6,2014,15.2,19.9,25.299999,10.099999,12.8,41,65.199997,2,7.9000001,923.79999,0,15,22,,37
09jun2014,6,2014,15.2,21,28.4,13.2,12.3,32,59.599998,1.5,6.9000001,922.70001,0,21,24,,45
22jun2014,6,2014,15.4,18.799999,24.4,9,11.5,39,64.199997,2.8,10.6,924.29999,0,17,21,,38
18jun2014,6,2014,15.7,20.200001,26.299999,10.599999,13.1,38,65.5,1.6,6.0999999,923.79999,0,16,21,,37
07jun2014,6,2014,15.7,21.4,27.6,11.900001,13.2,30,61.700001,1.4,5.9000001,918.09998,0,13,19,,32
13jun2014,6,2014,15.9,19.200001,24.6,8.7000008,13.8,50,72.300003,2.2,10.5,925.20001,.40000001,12,22,,34
28jun2014,6,2014,16,20.9,27.200001,11.200001,13,33,63.200001,1.7,6.4000001,922.40002,0,14,17,,31
21jun2014,6,2014,16.1,19.200001,24.6,8.5,12.7,44,67.400002,2.5,8,923.20001,0,12,18,,30
04jun2014,6,2014,16.1,20.6,26.4,10.299999,14.2,41,68.5,1.8,6.6999998,918.29999,0,15,13,,28
02jun2014,6,2014,16.200001,19.4,24.200001,8,14.4,52,73.599998,1.2,6.0999999,916.09998,9,21,19,,40
12jun2014,6,2014,16.4,18.700001,22.9,6.5,14.5,60,77,2.7,9.1999998,924.70001,0,30,25,,55
14jun2014,6,2014,16.6,19.5,23.799999,7.1999989,13.1,47,67.800003,2.5,8.8999996,924.70001,0,22,20,,42
05jun2014,6,2014,16.799999,21.200001,28.200001,11.400002,13.8,31,65.300003,1.6,6.4000001,918.5,0,13,25,,38
30jun2014,6,2014,16.9,21,27.5,10.6,13.3,37,63,1.9,7.3000002,919.70001,0,24,24,,48
10jun2014,6,2014,17,20.5,25,8,12.8,38,62.599998,2.8,12.3,924.20001,0,19,25,,44
11jun2014,6,2014,17.200001,19.9,23.799999,6.5999985,13,48,65.400002,3.0999999,11.4,924.59998,0,24,23,,47
29jun2014,6,2014,18.5,22,27.4,8.8999996,13.1,33,59,1.8,8.3999996,921.29999,0,25,26,,51
12jul2014,7,2014,11.8,18.1,24.4,12.599999,10.8,43,63.700001,2.3,7.9000001,924.09998,0,21,28,,49
30jul2014,7,2014,12.6,16.200001,20,7.3999996,10.4,55,69.400002,2.8,9,926.5,0,22,22,,44
31jul2014,7,2014,13,17.9,24.5,11.5,9.8999996,34,61.5,2,7,923.70001,0,16,19,,35
